Statistic Label,Month,Age Group,Sex,UNIT,VALUE
Seasonally Adjusted Monthly Unemployment,2000 February,25 - 74 years,Both sexes,Thousand,57
Seasonally Adjusted Monthly Unemployment,2000 February,25 - 74 years,Male,Thousand,32.8
Seasonally Adjusted Monthly Unemployment,2000 February,25 - 74 years,Female,Thousand,24.1
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 24 years,Both sexes,Thousand,29.9
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 24 years,Male,Thousand,16
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 24 years,Female,Thousand,13.9
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 74 years,Both sexes,Thousand,85.4
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 74 years,Male,Thousand,48
Seasonally Adjusted Monthly Unemployment,2000 March,15 - 74 years,Female,Thousand,37.4
Seasonally Adjusted Monthly Unemployment,2000 March,25 - 74 years,Both sexes,Thousand,55.5
Seasonally Adjusted Monthly Unemployment,2000 March,25 - 74 years,Male,Thousand,32
Seasonally Adjusted Monthly Unemployment,2000 March,25 - 74 years,Female,Thousand,23.5
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 24 years,Both sexes,Thousand,29.9
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 24 years,Male,Thousand,16.2
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 24 years,Female,Thousand,13.7
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 74 years,Both sexes,Thousand,87.1
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 74 years,Male,Thousand,48
Seasonally Adjusted Monthly Unemployment,2000 April,15 - 74 years,Female,Thousand,39.1
Seasonally Adjusted Monthly Unemployment,2000 April,25 - 74 years,Both sexes,Thousand,57.2
Seasonally Adjusted Monthly Unemployment,2000 April,25 - 74 years,Male,Thousand,31.8
Seasonally Adjusted Monthly Unemployment,2000 April,25 - 74 years,Female,Thousand,25.4
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 24 years,Both sexes,Thousand,29.2
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 24 years,Male,Thousand,16.2
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 24 years,Female,Thousand,13
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 74 years,Both sexes,Thousand,85.3
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 74 years,Male,Thousand,47.4
Seasonally Adjusted Monthly Unemployment,2000 May,15 - 74 years,Female,Thousand,37.9
Seasonally Adjusted Monthly Unemployment,2000 May,25 - 74 years,Both sexes,Thousand,56.1
Seasonally Adjusted Monthly Unemployment,2000 May,25 - 74 years,Male,Thousand,31.2
Seasonally Adjusted Monthly Unemployment,2000 May,25 - 74 years,Female,Thousand,24.9
